"timeMillisSpent","score"
0,"-25hard/15soft"
0,"-24hard/36soft"
0,"-23hard/56soft"
0,"-22hard/74soft"
0,"-21hard/91soft"
0,"-20hard/108soft"
0,"-19hard/124soft"
0,"-18hard/140soft"
0,"-17hard/156soft"
0,"-16hard/172soft"
0,"-15hard/188soft"
16,"-14hard/203soft"
16,"-13hard/218soft"
16,"-12hard/233soft"
16,"-11hard/248soft"
16,"-10hard/263soft"
16,"-9hard/277soft"
16,"-8hard/291soft"
16,"-7hard/304soft"
16,"-6hard/317soft"
16,"-5hard/330soft"
16,"-4hard/343soft"
16,"-3hard/352soft"
16,"-2hard/360soft"
16,"-1hard/363soft"
16,"0hard/363soft"
