"timeMillisSpent","score"
0,"-25hard/15soft"
0,"-24hard/36soft"
0,"-23hard/56soft"
0,"-22hard/74soft"
0,"-21hard/91soft"
0,"-20hard/108soft"
0,"-19hard/124soft"
0,"-18hard/140soft"
0,"-17hard/156soft"
0,"-16hard/172soft"
0,"-15hard/188soft"
0,"-14hard/203soft"
0,"-13hard/218soft"
0,"-12hard/233soft"
0,"-11hard/248soft"
0,"-10hard/263soft"
0,"-9hard/277soft"
0,"-8hard/291soft"
15,"-7hard/304soft"
15,"-6hard/317soft"
15,"-5hard/330soft"
15,"-4hard/343soft"
15,"-3hard/352soft"
15,"-2hard/360soft"
15,"-1hard/363soft"
15,"0hard/363soft"
655,"0hard/364soft"
