"timeMillisSpent","score"
0,"-50hard/0soft"
0,"-49hard/7soft"
0,"-49hard/8soft"
0,"-49hard/9soft"
0,"-48hard/17soft"
0,"-48hard/18soft"
0,"-48hard/19soft"
0,"-47hard/25soft"
0,"-47hard/26soft"
0,"-46hard/32soft"
0,"-46hard/33soft"
0,"-46hard/34soft"
0,"-46hard/35soft"
0,"-46hard/36soft"
0,"-46hard/37soft"
0,"-45hard/43soft"
0,"-45hard/44soft"
0,"-45hard/45soft"
0,"-44hard/45soft"
0,"-44hard/46soft"
0,"-44hard/47soft"
0,"-44hard/48soft"
0,"-44hard/49soft"
0,"-44hard/52soft"
180976,"-44hard/53soft"
180976,"-44hard/54soft"
180976,"-44hard/55soft"
180976,"-44hard/56soft"
396226,"-43hard/57soft"
396226,"-43hard/58soft"
396226,"-43hard/59soft"
396226,"-43hard/60soft"
396226,"-43hard/61soft"
396226,"-43hard/62soft"
